Author	DOD
Raymond Pouilliart	1995
Adolf Herckenrath	4 juli 1958
C.J. Lannoy	
Daan Boens	28 januari 1977
Rik Zienstra	
Jan Leyten	
Joris Taels	28 november 2010
Albert Speekaert	1982
Roger Ghesquiere	
Andries Poppe	1992
Erik van Ruysbeek	8 april 2004
Herman van Snick	19 januari 2002
August Govaers	
J. Leenen	29 juli 1976
Theo Luyckx	1977
Jules Van Ackere	3 of 12 februari 2008
Willem Doevenspeck	21 december 1982
Leo Simoens	
Ernst Wiechert	1950
Charles van Lerberghe	26 oktober 1907
Josef Goedertier	
Friedrich Rückert	1866
S.J. de Hoest	13 februari 1877
Frank Baur	9 januari 1969
Jan Elemans	
Luc Debaene	29 augustus 1974
N. Machiavelli	1527
S.A. Vosters	24 april 2015
Paul Possemiers	24 februari 2011
Karel de Busschere	8 oktober 1998
Jos Smeyers	
Lode Wils	
M. Hanot	24 oktober 2011
Tirso de Molina	12 maart 1648
Eugène van Itterbeek	24 april 2012
Paulus de Kempenaer	ca. 1618
Pierre Lambrechts	21 juni 1974
Fa Claes	
Roland Jooris	
Hedwig Speliers	
Luc Verbeke	30 september 2013
Joris Delameillieure	21ste eeuw
Miguel de Unamuno	1936
Willy Spillebeen	
Robin Hannelore	
Anthony Jansen	6 juni 1696
Luc Clerinx	
J. Brants	
Reginald De Schryver	16 november 2012
Ernest Schepens	
Frans Kuipers	
Luk Adriaens	
Ludo Simons	
Julien Vangansbeke	
Frans de Haes	
H. van Gorp	
Paul Vanderschaeghe	
Leo Pleysier	
Jef van Gool	
J. Goossens	
Jozef Boets	27 oktober 2012
Luuk Gruwez	
Alstein	
Frans Deschoemaeker	
Lucienne Stassaert	
Aleidis Dierick	
Rita Ghesquiere	12 maart 2018
José Lambert	
Wilfried Adams	13 januari 2008
Frans Depeuter	
Chris Coppens	
Johanna Kruit	
Lisette Keustermans	
Willy Balyon	21 juni 2000
W.F. Jonckheere	
Patricia Lasoen	
Piet van Aken	3 mei 1984
J.P. Heyen	
Hervé J. Casier	
Hanna Kirsten	
Dirk Verbruggen	13 april 2009
Jozef de Vos	
Hendrik Carette	
Jaak De Maere	
Philip Vermoortel	
Elke Brems	
Bernard Verstraete	
Jo Gisekin	
Robert Lagrain	24 januari 1999
Koen Vermeiren	
Mark Kinet	
Katrien Desiere	
Willem de Groot	12 maart 1662
Chris de Stoop	
G. Geerts	
Johan Corveleijn	
A.B. de Cooman	
Stefaan Evenepoel	
Charles Ducal	
Vic Nachtergaele	
Willy Vanhaelewijn	
Jan van Coillie	
Hans de Greve	
Michelangelo	1564
Lieven de Cauter	
Lenze L. Bouwers	
Lionel Deflo	
Bernard Dewulf	
Erik Spinoy	
E. Dekker	
Toine Hovens	
Ernst van Altena	16 juni 1999
Paul Koeck	
Eric Derluyn	
Marleen de Crée-Roex	
Julien Vermeulen	
Annie Verhaeghe	
Bies van Ede	
Karel Porteman	
Frank Pollet	
Dirk de Geest	
Jan Flamend	
Kees Vellekoop	
Martine de Clercq	
Mark Van Tongele	
Elisabeth Marain	
Elisabeth Leijnse	
J.L. Weverbergh	
Marc Reynebeau	
Frans Berkelmans	
Karel Roelants	
Anne van Herreweghen	
Luc Renders	
Koenraad Goudeseune	
Dante Alighieri	14 september 1321
Luk Lambrechts	
Marcel de Smedt	
Guido De Bruyn	
Philips Koninck	6 oktober 1688
D. Delabastita	
Jef Snauwaert	
J.J. Roest van Alkemade	17 december 1811
Piet Couttenier	
J. van Iseghem	
Ivo Michiels	7 oktober 2012
Jo Tollebeek	
Maurits van Saene	22 januari 2000
Bert Govaerts	
Joris Gerits	26 juli 2016
Jean-Luc Lambreghts	
Toon Saelens	
Bart Vonck	
Jean-Paul den Haerynck	
J. Hoogteijling	
Bert Bevers	
Rino Feys	
Emile Clemens	
Patrick Cornillie	
Mark Eyskens	
Peter Ghyssaert	
Jo Govaerts	
Publius Ovidius Naso	ca. 17
Rik Deweerdt	
Gilbert van Hool	
Bruneau	
Leen Huet	
Steven Wilsens	
Francis Bacon	28 april 1992
A.F.Th. van der Heijden	
Johan Reijmerink	
Herbert van Uffelen	
J.C. Kannemeyer	25 december 2011
Tom Pijnenborg	
Els Vos	
Bart Janssen	
Dirk Geeraerts	
Cees Verraak	
Menko ten Cate	
August Thiry	
Hubert de Vogelaere	
L. Beheydt	
Hartmann von Aue	
Jo Boon	
Lieve Blancquaert	
Dees de Bruyne	
Hans Vermeulen	
Jos Verhoogen	2011
M. Februari	
Connie Palmen	
Jacques De Visscher	
Maryse Vincken	
J. Van Acker	
Matteo Maria Boiardo	19 december 1494
Hendrik Schreuder van Draag	
Robert Lema	
Eddy Walrave	
J.J. Goossens	
Luc Devoldere	
Judit Gera	
Geert van Istendael	
Serge van Duijnhoven	
Paul Verhuyck	26 september 2018
Gaston de Mey	1 september 2015
Annemiek Neefjes	
Tony Le Duc	
Johan Daenen	
Yves T'Sjoen	
Victor Burgin	
Kasimierz Bendkowski	
Elma van Haren	
Kaat Tilley	22 juni 2012
Ad Zuiderent	
Carl de Keyzer	
Pierre Dumonstier le neveu	1656
K. van der Stighelen	
Anna Maria van Schurman	4 mei 1678
Thérèse Schwartze	23 december 1918
M.A. Schenkeveld-van der Dussen	
Anna Enquist	
Luk van den Dries	
Eric de Volder	28 november 2010
Eva Gerlach	
Ludo Bekkers	
François Haverschmidt	19 januari 1894
Jan Baetens	
Guido van Genechten	
Lieven Baeyens	
Kristiaan Borret	
Guido Vrolix	
Pascal Cornet	
Rudyard Kipling	
Edgar Rice Burroughs	
Dominique Goblet	
Jan van Loy	
Galileo Galilei	8 januari 1642
James Joyce	
Joh. de Graaff	na 1828
Ultra Violet	4 juni 2014
Johnny Maeschalck	
Mustafa Stitou	
Walter Verdin	
Jan Lauwereyns	
Saskia de Coster	
Geertrui Daem	
Monica Droste	11 november 1998
Guy Rombouts	
Didi de Paris	
Pjeroo Roobjee	
Arthur Rimbaud	
Pieter Boskma	
Dianne Hagen	
Marlene Dumas	
Gert-Jan van Rooij	
Felx Tirry	
Peter Cox	
Peter Sander	
Wouter Verbeylen	
Eric Vos	
Hans Groenewegen	10 juni 2013
Idel Ianchelevici	juni 1994
Georges Wildemeersch	
Geert Buelens	
Pierre Alechinsky	
Stefan Brijs	
Ray Gilles	2000
Jan Vaerten	23 december 1980
Florent Wellens	
Maurice D'Haese	27 april 1981
Frans Denissen	
Bob van Laerhoven	
Johan Vandenbroucke	
Karl Vissers	
Erik Vlaminck	
F.C. Terborgh	26 februari 1981
Ernest Michel	6 april 1960
Louis van Loo	
Jacob Bendien	16 december 1933
J.A. Dèr Mouw	8 juli 1919
M.B. Frenkel	1938
Karel Leroux	22 april 1969
Paul Rogghé	24 juni 1974
Stefan George	1933
Giacomo Antonini	16 juni 1983
C.L. Sciarone	1956
B. Roest Crollius	2000
Aulus Persius Flaccus	24 november 62
F.W. van Heerikhuizen	18 februari 1969
J.C. Noordstar	1987
Plato	347 v.Chr.
Amaat Honoraat Joos	15 augustus 1937
Rudolf Escher	17 maart 1980
Piet Verhoog	1984
Gerard van Gelder	
E.M. Uhlenbeck	27 mei 2003
A. de Buck	28 oktober 1959
Grietje Drewes	
J.G. Bomhoff	1988
A.E. Cohen	26 juni 2004
H.J. Drossaart Lulofs	1998
C. Soeteman	11 november 2005
C. de Deugd	13 augustus 2010
Karel van het Reve	4 maart 1999
C.J. Ruijgh	2004
Z.R. Dittrich	
A.J. van Duyvendijk	
G.W. Locher	3 december 1997
Frederik Willem Nicolaas Hugenholtz	17 februari 1900
P.E. Josselin de Jong	1999
J.C. Opstelten	1979
T.A. Birrell	
Simon Kooyman	
F.R. Kraus	1991
Christiaan Hooykaas	13 augustus 1979
D.J. Kohlbrugge	
A.B. Breebaart	
J.C. Anceaux	1988
A. Chorus	1998
J.H. Waszink	1990
A. Mooij	
P.H. Pott	
J. M. Welcker	
B. Siertsema	10 september 2001
B.H. Wind	
J. van der Eng	2001
W. van Ravesteyn	10 juni 1970
J.W. de Jong	
J.H. Croon	
B.H. Erné	1996
W.J. Verdenius	23 juni 1998
Wiecher Zwanenburg	
Antonie Cohen	1996
Jan van der Veen	1994
P.J.H. Pijls	
A. Kibédi Varga	
F. de Tollenaere	12 december 2009
F.R. Noske	15 september 1993
P.A.M. Geurts	19 maart 1994
I.N. Bulhof-Rutgers	
H. Mol	1980
W.J.H. Caron	3 maart 1988
Jacob Smit	29 september 1982
H.P.H. Teesing	19 augustus 1973
G. Nuchelmans	1996
F. Bulhof	
W. Drop	21 juli 2018
J.A. van Dorsten	1985
G.F. Bos	
A.Z. van 't Hoff Stolk-Huisman	4 december 2004
J.J. Wesselo	
S.G. Nooteboom	
B.N. Teensma	
Louise Statenus	
A.A. Prins	
P.H. van Laer	1989
W.A.M. de Vroomen	
J.M. Bremer	
R.E.H. Westendorp Boerma	1982
Steven ten Brinke	26 april 2018
D.R. Jonker	1973
T.A. van Dijk	
Cor van Bree	
Raoul Van Caenegem	15 juni 2018
R.S. Prins	
E. Wagenaar-Cornelissen	
P. Gaeffke	30 maart 2005
J.G. Schippers	
A.L. des Tombe	
Ronald Landheer	
W. Hogendoorn	
A. Kraak	25 oktober 2005
Co Vet	
W.J.M. Levelt	
L. Pepplinkhuizen	
A.W.G. Eijgendaal	
Sjaak de Mey	2004
A. M. de Wachter-Schaerlaekens	
H.J. Brinkman	
B.P.F. Al	
Guus Extra	
J. F. P. de Smit	
W. Kaper	
G.F.H. Raat	
M. van de Ven	
Gerrard Verhage	6 april 2008
Horst A. Steinmetz	
Gerard Kempen	
P.F. Schmitz	
D.J.M. ten Berge	
W.C. van Unnik	17 maart 1978
H.A.J.F. Misset	23 april 2015
C. Reedijk	7 mei 2000
E.K. Grootes	
J.G.P. Best	
Jeanette van der Valk	
A.A. Verrijn Stuart	24 oktober 2004
Ger Schmook	5 juli 1985
P.G.J. van Sterkenburg	
Paul van Hauwermeiren	
A. Ollongren	
Alain Bossuyt	
Geert Evert Booij	
Harry van der Hulst	
A. Dees	25 november 2001
A. Meintema	
S.J. Lenselink	20 oktober 1998
Paul Pelckmans	
Frank Jansen	
Th. van den Hoek	
Flor Aarts	
Ariane van Santen	
Harry Bekkering	
J. van Marle	
W. Pijnenburg	
Quirinus Ignatius Maria Mok	12 augustus 2005
Erik Maten	
D. Otten	
G.J. de Haan	
Arthur Eijffinger	
P. Th. van Reenen	
Marie-Louise Montulet	
Louk Wijsen	
A. Feitsma	2009
Geert Koefoed	
Jos Hoogeveen	
Charles Grivel	
A.G.H. Bachrach	18 december 2009
Françoise van Rossum-Guyon	
A.J.A. Fehr	23 februari 1992
L.D. Couprie	
Willem Adelaar	
J.A. de Vries	
J.A. Dautzenberg	13 december 2009
Jan van Bakel	
J.P. Fokkelman	
Peter Verstegen	
Marijke Loots	
P.J. Peverelli	
Julia van Gunsteren-Viersen	
Frank Berndsen	
M. Uhlenbeck-Winkel	
B.J. Hoff	
V.J.J.P. van Heuven	
J. Hoftijzer	
Hannes Meinkema	
B.P. Visser	
Geert Adriaens	
Chantal Keijsper	
Will Derks	
Ton van Haaften	
Maarten Klein	
Wim Zonneveld	
Hans Heestermans	
Ria Lemaire-Mertens	
Norval S.H. Smith	
Bert Schouten	
Erica C. García	
J. Knol	
Mineke Schipper	
Arie Verhagen	
H.F.A. van der Lubbe	27 oktober 1991
H. Hulshof	
Erica Huls	
Sophie Levie	
Bob Rigter	
N. van der Laan	2 augustus 1943
Arie Schippers	
Ina Schermer-Vermeer	
Arthur Kooyman	
Annechien Vink	
H. Proeme	
Lo van Driel	
Dick Schram	
Johan Kerstens	
K. de Bot	
Kees-Jan Backhuys	
Rob Wolfs	
Ben van der Have	
Antoine Braet	
Päivi Schot-Saikku	
Sandro Briosi	
R.M. van Zonneveld	11 december 2012
Jef Bogman	
Kees Meerhoff	
M.K. van Dort-Slijper	
Harry Verschuren	
Jacqueline Bel	
Peter van Bart	
Jeannette M. Hollaar	
Aaldrik Koops	
Will van Peer	
Johan van Benthem	
Martin Schouten	
Peter V. Zima	
M.P.R. van den Broecke	
P. Schellens	
René Marres	
Theo A.J.M. Janssen	
Marijke J. van der Wal	
Mieke Trommelen	
Gert de Jager	
A. Moerdijk	
Els Elffers	
Walter Haeseryn	
Reinier Salverda	
Maartje Süter	
A.M. Duinhoven	
W.G. Klooster	
W.H.M. Mattens	
Margreet Onrust	
U. Schuurs	
Pierre Swiggers	
Karel van den Eynde	
Willy Vandeweghe	
S. De Vriendt	
J.J. Kloek	
Els Jongeneel	
Jacomine Nortier	
H.F. Schatz	
Essa Reijmers	
Lucia Nankoe	
Rolf Zwaan	
Ralf Grüttemeier	
Hub Zwart	
Ruurd R. Nauta	
Alida Toussaint-Dekker	18 maart 2018
Robert S. Kirsner	
Sies de Haan	
J.V. Schmöler	
B. van Heusden	
Marinel Gerritsen	
J. Lachlan Mackenzie	
Matthijs Engelberts	
Hanneke Mulder	
Alied Blom	
Alette van Doggenaar	
René Appel	
Wardy Poelstra	
Hans van Stralen	
Pamela Pattynama	
R.H. Baayen	
Hans Anten	
Anneke van Luxemburg-Albers	
A. Sturm	
Justine Pardoen	
G.J. Vis	4 februari 2018
Klaus Beekman	
Saskia van As	
Guy Janssens	
Els Weijers	
Fritz A. Ponelis	17 december 2009
Sytze Wiersma	
Frank van den Bogaard	
Thijs Jansen	
Matthias Prangel	
Ger Groot	
Jan Noordegraaf	
Isabel Hoving	
A. Lubotsky	
Linda Verstraten	
Henk de Berg	
J.B. Berns	
Saskia Daalder	
L.H. Hoek	
Saskia Tellegen-van Delft	
Anneke Nunn	
Ann Rigney	
Frans Ruiter	
W.W. Mijnhardt	
José Sanders	
Gisela Redeker	
Ton Nijhuis	
Peter Bakema	
J.A.M. Komen	
Matthias Hüning	
Wim Honselaar	
Wilma Siccama	
Tieme van Dijk	
F.W. Korsten	
Dirk Boutkan	6 januari 2002
Arnoud Wils	
Kees van der Waerden	
Els Andringa	
Walter Schönau	
Sjef Barbiers	
Leonie Cornips	
Margreet den Buurman	
Casper de Groot	
J.G. Kruyt	
Ido Weijers	
Annelies Schulte Nordholt	
Jos van Winkel	
Marjolijn Verspoor	
Louise Cornelis	
Ute Langner	
Paul Hadermann	
Kees Snoek	
Fred Weerman	
Matthijs Bakker	
Ad Foolen	
J.D.F. van Halsema	
Henk Haverkate	
Edmond van Offel	5 september 1959
Jeannette Nijhuis	30 juni 1938
A.M. Nachenius-Roegholt	26 mei 1941
Frans Hulleman	1936
Marie Heijermans-Peers	
H.A. van Daalhoff	1953
J.B. Schepers	10 juli 1937
Bé Stolk	
Frits Leonhard	9 september 1964
R.A. Hugenholtz	1906
René de Clercq	12 juni 1932
Alfred Boysen	maart 2003
Henri Dekking	8 oktober 1939
David Moolenaar	
Leo Meert	13 augustus 1963
Daan van der Zee	1969
Suze la Chapelle-Roobol	17 september 1923
Trabadoeli	
Willem Graadt van Roggen	1945
Carry van Bruggen	16 november 1932
E. Bergsma	
J.F. van Hees	
M. Dz. van Dordrecht	3 februari 1536
J. van der Burg-Hora Adema	
L.S. Hijlsma	
Fokko Bos	20ste eeuw
J. van der Pant jr.	
Suze La Chapelle-Roobol	17 september 1923
J.N. Pattist	8 december 1946
Jan F.E. Celliers	1940
Émile Verhaeren	27 november 1916
Leonce du Catillon	
Jan Fabricius	23 november 1964
Johannes Couperus	1981
Jan Koopmans	29 juli 1926
Willem Frederik Schürmann	27 januari 1915
Pauline le Roux	20ste eeuw
Theocritus	
Albertine de Haas	1952
Hein Boeken	19 oktober 1933
Robert de Hooghe	
Jules Bernard Schürmann	1927
Franz Michael Krings	23 april 1899
Hendrik van der Wal	1937
Pieter van der Meer	4 mei 1616
Piet van Assche	1950
Dora Janssen	
Josef Cohen	12 juli 1965
Jelte Nicolaas van der Ley	27 november 1954
H.F. Wirth	1981
Willem Caland	23 maart 1932
Else Osten	
Albertine Draaijer-de Haas	1952
Anna Elisabeth Buma	23 augustus 1825
R.L. Stevenson	3 december 1894
Henri H. van Calker	21 oktober 1967
Lita de Ranitz	21 juli 1960
Heinrich Petermeyer	
Balthazar Verhagen	1950
Henricus	
Omar Khayyam	4 december 1123
Adriaan van Slooten	
André de Ridder	1 juli 1961
Gust van Roosbroeck	1936
Karel Antoon Casteels	
Janito Benavente y Martinez	14 juli 1954
Herman van Puymbrouck	1949
Johan van Wageningen	
Remko ter Laan	9 augustus 1928
H. van Raalte-Simons	
Maryot	
Gabriële Violanti	
Anne Hallema	23 februari 1973
Jos Janssen	24 februari 1968
J. de Jong	
J.W. van Cittert	1945
Prosper Mérimée	23 september 1870
Bernard Canter	25 mei 1956
Carlo Goldini	6 februari 1793
Mary Robbers	
M.H. Werkman	1953
F.H. Fischer	1945
Johann Wolfgang von Goethe	22 maart 1832
D.A. Zoethout	
Hendrik C. Diferee	28 december 1936
Joseph O. Kronig	1984
Mies Kievits	na 1965
A.E. van den Tol	
Amélie de Man	
Marie de Rovanno	
P. Bierens de Haan	1941
Johan Gustaaf Danser	27 maart 1920
Herman Wolf	
H.J. de Marez Oyens	17 juli 1911
A.G. van Kranendonk	1 april 1957
Jeanne van Son-Willing	
Rhoda	
Jet Luber	2 oktober 1960
Ernst Groenevelt	13 augustus 1955
Charles van Iersel	1951
E.H. Teissen	
C.P. van der Weide	
J.L.M. Lauweriks	1932
Nella Moltzer	
Nelly M. Burgers	1963
C. Krak	
Fritz Smit Kleine	5 maart 1931
F.J. de Holl	
A. Moresco	1940
W.M. Ebbink	
Valborg Isaachsen-Dudok van Heel	20ste eeuw
C. de Leeuw-Schönberg	
Rinke Tolman	12 maart 1983
Jan Strobbe	
J. Saks	26 september 1938
Henriette Barbe	11 september 1970
W. Boschman	
A.A. Bosschart	29 september 1941
M.E. Klinkhamer-van Hoytema	
W. de Rijke	
H.S. Keuls jr.	
Heinrich von Kleist	1811
Jan van Lumey	1 januari 1973
M.L.A. Barnardiston-Van Riemsdijk	
M.H.J. Schoenmaekers	18 december 1944
W. Reich	
Jos Jansen	
Carla van Lidth de Jeude	20ste eeuw
David de Jong	6 februari 1963
Eduard van Collem	25 januari 1943
Nanny Speyer	
Laura Olivier	
Georges Eekhoud	29 mei 1927
M.D. Henkel	20ste eeuw
Willem Johannes Steenhoff	22 december 1932
W. Haanstra	1925
Alfred de Vigny	1863
J.C. Bruijn	1963
Alie Smeding	5 juli 1938
Alb. Kolkman	
C. de Dood	23 oktober 1965
Agnes François	
Maxim Gorki	18 juni 1936
E. de Haas	
L. de Haas	
J.N. Jacobsen Jensen	
Herman Menagé Challa	
Ludvig Holberg	28 januari 1754
B.A. Meuleman	
H. Lievegoed	
Juul Roggeveen	20ste eeuw
Henriette Geerling	
Jan Grégoire	11 februari 1960
D.H. Lawrence	2 maart 1930
H. Korteling	30 september 1994
Thomas Raucat	14 augustus 1976
Johan Schmidt	
G. de Bruijn	
H.W. van Loon	11 maart 1944
J. Nienhuis	7 augustus 1985
J.P. Zoomers-Vermeer	26 april 1968
Sidonie Gabrielle Colette	1954
Eva Raedt-de Canter	27 februari 1975
Taï Aagen-Moro	31 oktober 1979
Hermance Farensbach	1994
Annelies van Cauwelaert	
Juul Horn	
Ernst S. Willartz	
Marja Stevens	
Albert van Waasdijk	1943
Con Schröders	6 juli 2010
N. de Praetere	
Willem Enzinck	12 augustus 2001
Frans Harmen Kiveron	1927
A.H. Unger	
Friedrich Hölderlin	1843
J.A. van der Made	1982
Nico de Haas	1995
Frans Hannema	
Ferdinand Vercnocke	12 mei 1989
Sjoerd de Vries	
Jan Redam	
Steven Barends	1993?
Hendrik Lindt	1985
George Kettmann jr.	10 februari 1970
Ben Moritz	2000
Henri Bruning	17 januari 1983
Sybren Modderman	
Karin Moen	
Rudolf Steinmetz	1979
S.G. de Vries	8 februari 1937
Louis D. Petit	16 juli 1918
G.J.W. Koolemans Beijnen	6 november 1928
J. Verdam	19 juli 1919
Gerardus Johannes van der Hoeve	1916
T. Zaaijer	23 december 1902
J.M. Nuyts	1928
J.E. Banck	16 april 1902
Jan Frederik Willem Conrad	12 augustus 1902
T.C. van der Kulk	september 1911
W.R. Veder	1929
J. Herderscheê	9 november 1929
W.H. Stenfert Kroese	
H.J. de Dompierre de Chaufepié	1910
François van Veerdeghem	1932
B. van Meer	
Johan Adriaan Feith	28 januari 1913
J.W.M. Schorer	1 oktober 1903
Corneille L. Landré	10 februari 1895
Carel Eduard Daniëls	
J. Jelgerhuis Swildens	18 september 1906
J.G. Nijk	
Thomas Nolen	25 september 1912
P.J. Muller	1922
E.N. Rahusen	
Godschalk Horatius van Borssum Waalkes	1 februari 1907
Wilco Julius van Welderen Baron Rengers	21 februari 1916
O.J.H. van Limburg Stirum	15 juli 1909
Jacob Cornelis van Slee	21 november 1929
M.A. Gooszen	28 januari 1916
P. Feenstra jr.	
J.G.C. Joosting	18 april 1944
J.T. Cremer	14 augustus 1923
J.J. Tavenraat	11 augustus 1913
Willem Polman Kruseman	9 december 1918
Jan te Winkel	31 mei 1927
G.H. Leignes Bakhoven	1906
J.M.L. Keuller	
Rijke de Wolf	
J.S. van Veen	1934
L.H. Slotemaker	7 augustus 1911
R.A. van Sandick	1933
Thérèse Hoven	11 december 1941
J.E. Heeres	16 februari 1932
Johannes de Hullu	20 november 1940
Tj. Kielstra	1936
Ludolf Willem Bakhuizen van den Brink	1936
Ernst Wilhelm Moes	30 oktober 1912
Frederik Pijper	26 februari 1926
W.A. Arriëns	
F.A. van den Heuvel	
J. Baart de la Faille	1959
J.H.W. Leliman	1912
W.W. van der Meulen	27 maart 1944
Is. van Dijk	25 december 1922
Hotse Brongersma	1922
R.W.P. de Vries	25 september 1919
L.J.J. Hageraats	
J.C. Vollgraff	6 februari 1920
J.C.G. Jonker	1919
A.P.Th. Eyssell	23 maart 1921
P.J.F. du Bois	
M.Th. Houtsma	1943
H.J. Calkoen	1937
Jacob Domela Nieuwenhuis	14 augustus 1924
Y.H. Rogge	1953
Daniel de Swaef	26 januari 1654
L.J. Sicking	
D.A. van Heyst	
C.H. van Rhijn	16 februari 1913
Philip Christiaan Molhuyzen	5 april 1865
J.C. Jansen	
Alexander Frederik de Savornin Lohman	1924
A.O. van Kerkwijk	1957
Willem Draaijer	13 juli 1933
Eppe Wiersum	25 december 1955
J.P. Lotsy	1931
S. Cramer	30 januari 1913
H. Rogaar	
E.C. Godée Molsbergen	8 maart 1940
J.H. Abendanon	13 december 1925
Jan C. de Vos	1931
F. van Gheel Gildemeester	1929
Seerp Gratama	22 mei 1923
G. Fuldauer	
J. van Kuyk	1949
S.P. Haak	9 februari 1937
A.F.O. Sasse van Ysselt	6 augustus 1939
D.A. van Waalwijk	
Johanna Snellen	18 april 1943
G.E.W. van Hille	15 april 1944
E.J. van der Brugh	1947
G.D.A. Jonckbloet	5 april 1926
R. van der Meulen Rz.	1972
Th. Morren	31 mei 1920
Hendrik Blink	26 december 1931
Charles René Bakhuizen van den Brink	12 mei 1923
P. Albers S.J.	1932
Marinus Willem de Visser	7 oktober 1930
B.J.F. Varenhorst	
H.J. Romeijn	
Joseph van Wely, O.P.	1963
F.J. Kruitwagen	11 mei 1954
Martinus Beversluis	1948
E.A.A. van Heekeren	
E. Zuidema	
H.H. Juynboll	1945
Vincent Loosjes	19 september 1932
Ant. Averkamp	1934
Joh. A. Leopold	23 januari 1922
Reinier van der Meulen Rz.	1972
Jos. Jacobson	
Jan Kalff Jr.	1944
Frederic Adolph Hoefer	7 oktober 1938
M.G. Wildeman	
Th.P.H. van Aalst	
C.W.A. van Haersolte van den Doorn	1925
H.M. van Nes	18 augustus 1946
Willem Vogelsang	1954
Klaas Uilkema	3 februari 1944
L.W.A.M. Lasonder	1 april 1958
E.T. Kuiper	4 februari 1924
Jan Leendert van Dalen	1936
J.G.L. Nolst Trenité	1941
G.F. de Bruyn Kops	1881
E.M. Meijers	25 juni 1954
Adriaan Beets	24 december 1937
A.C.S. de Koe	1977
E.C. van Leersum	15 februari 1938
H. Colijn	18 september 1944
A.J. Servaas van Rooijen	1925
Maarten van Rhijn	3 oktober 1966
Valentijn Hepp	1950
J.J. van Hille	na 1924
A.A. Kok	15 april 1951
H.D.H. Bosboom	22 oktober 1929
W.J.M. Mulder	17 oktober 1936
C.J.K. van Aalst	1939
Johannes Henricus Scholten	10 april 1885
W.J.J.C. Bijleveld	1952
M.A. Evelein	
J.C. van der Loos	1947
J.W. Bierma	
J.R. Callenbach	1945
F. van Hoeck	1956
J.C. Breen	7 maart 1927
W. van Schothorst	17 augustus 1935
Albert Eekhof	23 maart 1933
Willem Gerard van der Tak	19 maart 1958
J.H. Garms jr.	1933
H.E. Knappert	1943
Frans Drion	13 december 1948
